A-p800,
X,Y
0.0079 , 93.1735
0.0297 , 100.3580
0.0589 , 102.8277
0.0807 , 104.1748
0.1002 , 105.0728
0.1208 , 105.9709
0.1402 , 106.6444
0.1597 , 107.0934
0.1791 , 107.5425
0.1998 , 107.9915
0.2472 , 108.6650
0.2994 , 109.5631
0.3492 , 110.4612
0.3990 , 111.1347
0.4476 , 111.5837
0.4987 , 112.0328
0.5473 , 112.9308
0.5983 , 113.6044
0.6481 , 114.2779
0.6979 , 115.1760
0.7477 , 116.1863
0.7975 , 117.6456
0.8194 , 118.5437
0.8485 , 119.6663
0.8722 , 121.0133
0.8977 , 122.9217
0.9226 , 125.8404
0.9463 , 130.2184
0.9675 , 139.4235
0.9772 , 147.9551
0.9844 , 158.9563
0.9880 , 169.0595
