A-p600,
X,Y
0.0078 , 99.9090
0.0273 , 103.9502
0.0576 , 106.8689
0.0819 , 108.2160
0.0989 , 108.8896
0.1208 , 109.7876
0.1402 , 110.4612
0.1609 , 110.9102
0.1803 , 111.3592
0.1998 , 111.8083
0.2471 , 112.4818
0.3006 , 113.3799
0.3504 , 114.0534
0.3990 , 114.7269
0.4488 , 115.1760
0.4986 , 115.8495
0.5484 , 116.5231
0.5983 , 116.9721
0.6481 , 117.6456
0.6991 , 118.3192
0.7489 , 118.9927
0.7975 , 120.1153
0.8194 , 120.5643
0.8485 , 121.6869
0.8740 , 122.8095
0.8983 , 124.1566
0.9226 , 126.4017
0.9469 , 129.9939
0.9687 , 136.9539
0.9784 , 143.2403
0.9868 , 152.8944
0.9953 , 160.0789
