A-p700,
X,Y
0.0090 , 102.3786
0.0272 , 107.3180
0.0576 , 110.6857
0.0807 , 112.0328
0.1001 , 112.7063
0.1208 , 113.6044
0.1402 , 113.8289
0.1596 , 114.7269
0.1803 , 115.1760
0.1997 , 115.6250
0.2471 , 116.5231
0.2994 , 117.4211
0.3492 , 118.0947
0.3978 , 118.7682
0.4488 , 119.4417
0.4986 , 120.1153
0.5484 , 120.7888
0.5982 , 121.4624
0.6480 , 122.1359
0.6991 , 123.0340
0.7489 , 124.1566
0.7975 , 125.2791
0.8181 , 126.1772
0.8473 , 127.5243
0.8716 , 128.8714
0.8971 , 130.6675
0.9226 , 133.3617
0.9456 , 138.5255
0.9855 , 168.8350
0.9891 , 179.6117
