A-p900,
X,Y
0.0073 , 105.8828
0.0356 , 112.5538
0.0676 , 115.7740
0.0995 , 117.8057
0.1315 , 119.5114
0.1634 , 120.5025
0.1954 , 121.8191
0.2274 , 122.1034
0.2593 , 123.1021
0.2913 , 123.5909
0.3232 , 123.6838
0.3552 , 124.5837
0.3856 , 124.5933
0.4191 , 124.9455
0.4511 , 125.6994
0.4830 , 125.9717
0.5150 , 126.2685
0.5470 , 126.7373
0.5789 , 126.7641
0.6109 , 127.3667
0.6429 , 127.8040
0.6748 , 127.7417
0.7068 , 128.5886
0.7387 , 129.0888
0.7703 , 129.3636
0.8023 , 129.8026
0.8345 , 131.1187
0.8676 , 131.5261
0.8985 , 133.3679
0.9305 , 135.8012
