A-p800,
X,Y
0.0087 , 93.0385
0.0439 , 101.4117
0.0684 , 103.5698
0.0928 , 104.8811
0.1171 , 105.5086
0.1415 , 106.5896
0.1658 , 107.1463
0.1902 , 107.6971
0.2131 , 108.1248
0.2407 , 108.5851
0.2637 , 108.8940
0.2900 , 109.3770
0.3114 , 109.6482
0.3386 , 110.0630
0.3611 , 110.3189
0.3868 , 110.7732
0.4091 , 111.0310
0.4355 , 111.3573
0.4578 , 111.5818
0.4843 , 111.9785
0.5068 , 112.2400
0.5337 , 112.6013
0.5564 , 112.8357
0.5826 , 113.2693
0.6051 , 113.6607
0.6294 , 113.9232
0.6533 , 114.2386
0.6781 , 114.7362
0.7020 , 115.3334
0.7284 , 115.6716
0.7513 , 115.6725
0.7766 , 116.8434
0.9469 , 131.7861
0.9663 , 138.9745
0.9772 , 147.7306
0.9892 , 168.8350
0.0249 , 99.0109
0.8279 , 118.7682
0.8085 , 118.0947
0.7890 , 117.4211
0.8388 , 119.4417
0.8607 , 120.3398
0.8826 , 121.6869
0.9105 , 124.6056
0.9311 , 127.5243
0.9578 , 135.8313
