A-p1000,
X,Y
0.9898 , 67.3544
0.9863 , 57.2512
0.9803 , 46.2500
0.9682 , 37.0449
0.9476 , 28.2888
0.9233 , 23.7985
0.8978 , 21.1044
0.8747 , 19.3083
0.8492 , 17.9612
0.8201 , 16.8386
0.7994 , 16.3896
0.7496 , 15.2670
0.6998 , 14.3689
0.6500 , 13.9199
0.5989 , 13.4709
0.5491 , 12.7973
0.4993 , 12.3483
0.4495 , 12.1238
0.3985 , 11.6748
0.3499 , 11.4502
0.3000 , 11.0012
0.2490 , 10.7767
0.1980 , 10.5522
0.1798 , 10.3277
0.1603 , 10.1032
0.1397 , 10.1032
0.1178 , 10.1032
0.0996 , 9.8786
0.0801 , 9.4296
0.0656 , 9.4296
0.0303 , 8.7561
0.0097 , 7.8580
