ADS1-900_900,
X,Y
-0.0012 , 100.2163
-0.0005 , 118.7962
-0.0007 , 80.0128
-0.0007 , 37.1019
-0.0007 , 19.2048
-0.0003 , 62.2602
0.0034 , 138.8017
0.0102 , 146.2779
0.0207 , 151.2939
0.0358 , 157.6001
0.0504 , 160.8753
0.0650 , 162.9494
0.0795 , 165.0030
0.0941 , 166.2010
0.1087 , 166.9197
0.1233 , 167.5089
0.1379 , 168.3365
0.1525 , 169.4281
0.1670 , 170.1505
0.1816 , 170.7727
0.1962 , 170.6432
0.2108 , 171.3228
0.2254 , 172.3863
0.2399 , 172.2396
0.2545 , 172.5379
0.2691 , 173.3765
0.2837 , 173.9265
0.2983 , 173.8239
0.3129 , 174.8067
0.3274 , 174.8067
0.3420 , 175.1734
0.3566 , 175.6135
0.3712 , 175.6135
0.3858 , 175.6135
0.4004 , 174.9080
0.4149 , 176.4202
0.4295 , 176.4202
0.4441 , 176.4202
0.4587 , 176.2222
0.4733 , 176.5840
0.4879 , 177.2270
0.5024 , 177.2270
0.5170 , 176.7307
0.5316 , 177.2270
0.5462 , 177.3725
0.5608 , 177.1170
0.5753 , 177.2270
0.5899 , 177.0437
0.6045 , 176.9410
0.6191 , 177.3370
0.6337 , 177.5571
0.6483 , 178.0338
0.6628 , 178.0717
0.6774 , 177.8566
0.6920 , 178.5472
0.7066 , 178.4690
0.7212 , 178.8406
0.7358 , 179.2807
0.7503 , 178.4934
0.7649 , 179.6474
0.7795 , 179.6474
0.7941 , 180.1241
0.8087 , 180.0581
0.8232 , 179.6633
0.8378 , 180.4908
0.8524 , 181.0776
0.8670 , 181.1852
0.8816 , 181.6228
0.8962 , 181.5176
0.9107 , 181.8110
0.9253 , 182.8378
0.9399 , 183.1679
0.9545 , 183.6813
0.9691 , 184.7509
0.9803 , 186.6299
0.9928 , 190.8932
