ADS1-900_700,
X,Y
0.9942 , 208.8441
0.9755 , 204.9037
0.9496 , 202.7145
0.9007 , 201.8389
0.8748 , 201.8389
0.8504 , 201.4011
0.8252 , 201.4011
0.8000 , 200.9632
0.7504 , 200.0876
0.7007 , 199.2119
0.6511 , 198.3363
0.6000 , 197.8984
0.5511 , 197.0228
0.5000 , 197.0228
0.4504 , 195.7093
0.4000 , 195.2715
0.3000 , 193.5201
0.2504 , 193.0823
0.1993 , 191.7688
0.1612 , 190.8932
0.1403 , 190.0175
0.1209 , 189.1419
0.1007 , 188.2662
0.0799 , 186.5149
0.0719 , 186.0771
0.0496 , 183.8879
0.0273 , 181.2609
0.0101 , 174.2557
0.0014 , 160.6830
