ADS1-900_900,
X,Y
0.9942 , 191.7688
0.9755 , 185.2014
0.9683 , 184.3257
0.9007 , 181.6988
0.8755 , 180.8231
0.8683 , 180.8231
0.8252 , 179.9475
0.8180 , 179.5096
0.7489 , 178.6340
0.6993 , 177.7583
0.6691 , 177.3205
0.6000 , 176.4448
0.5489 , 176.8827
0.5180 , 176.4448
0.4691 , 175.5692
0.3993 , 175.1313
0.3000 , 173.8179
0.2504 , 172.9422
0.1993 , 170.7531
0.1612 , 169.8774
0.1396 , 168.1261
0.1209 , 167.6883
0.1000 , 165.9370
0.0799 , 164.6235
0.0676 , 162.8722
0.0583 , 162.4343
0.0496 , 161.1208
0.0403 , 159.3695
0.0309 , 156.3047
0.0223 , 153.6778
0.0151 , 149.7373
0.0086 , 144.0455
0.0029 , 135.2890
0.0000 , 119.9650
0.0000 , 100.7005
-0.0007 , 80.1226
-0.0007 , 59.5447
-0.0007 , 39.4046
0.0000 , 19.2644
