ADS1-900_700,
X,Y
0.0077 , 172.2399
0.0033 , 158.8727
0.0212 , 178.8039
0.0357 , 182.0274
0.0498 , 184.0040
0.0650 , 185.5516
0.0795 , 186.6151
0.0941 , 187.2752
0.1084 , 187.9573
0.1233 , 188.8887
0.1379 , 189.5855
0.1525 , 190.0256
0.1651 , 190.4813
0.1816 , 191.0524
0.1962 , 191.4191
0.2108 , 191.8592
0.2254 , 192.1892
0.2399 , 192.4826
0.2545 , 192.6659
0.2691 , 192.5559
0.2837 , 192.8493
0.2983 , 193.4361
0.3129 , 193.3627
0.3274 , 193.3627
0.3420 , 193.7294
0.3566 , 193.8028
0.3712 , 194.1695
0.3858 , 194.2795
0.4004 , 194.8663
0.4149 , 194.8663
0.4295 , 194.9763
0.4442 , 195.0166
0.4587 , 195.6364
0.4733 , 195.7831
0.4879 , 196.0031
0.5024 , 196.3698
0.5170 , 196.5165
0.5316 , 196.5899
0.5462 , 196.6265
0.5608 , 197.3233
0.5748 , 197.3966
0.5909 , 197.8505
0.6045 , 197.7267
0.6191 , 198.2034
0.6337 , 198.2034
0.6483 , 198.2034
0.6628 , 198.7902
0.6774 , 199.0102
0.6920 , 199.0102
0.7066 , 199.0102
0.7212 , 199.5236
0.7358 , 199.8170
0.7503 , 199.7437
0.7649 , 200.1470
0.7795 , 200.2204
0.7941 , 200.3671
0.8087 , 200.5504
0.8232 , 200.8438
0.8359 , 200.6814
0.8524 , 201.1739
0.8670 , 201.5039
0.8816 , 201.5773
0.8962 , 201.6139
0.9107 , 201.4672
0.9253 , 202.0907
0.9399 , 202.3474
0.9532 , 202.7752
0.9717 , 204.3277
0.9863 , 206.7480
0.9969 , 208.6916
