ADS2-900-700,
X,Y
0.9935 , 192.6947
0.9747 , 186.5704
0.9685 , 185.4768
0.9001 , 182.6334
0.8759 , 182.6334
0.8697 , 181.5398
0.8256 , 180.4462
0.8194 , 180.4462
0.7477 , 180.0087
0.7000 , 179.3526
0.6696 , 178.9151
0.6008 , 177.6028
0.5501 , 177.8215
0.5194 , 177.1654
0.4691 , 176.7279
0.4007 , 176.0717
0.2997 , 174.5407
0.2508 , 174.3220
0.2020 , 171.6973
0.1607 , 170.1662
0.1412 , 169.0726
0.1209 , 168.6352
0.0999 , 167.7603
0.0814 , 165.3543
0.0684 , 164.9169
0.0594 , 162.2922
0.0507 , 161.1986
0.0409 , 159.6675
0.0315 , 156.8241
0.0235 , 154.1995
0.0166 , 150.2625
0.0105 , 145.4506
0.0043 , 136.4829
0.0014 , 123.1409
0.0011 , 102.1435
-0.0007 , 82.4584
-0.0004 , 61.8985
-0.0007 , 41.9948
-0.0004 , 20.5599
