Xp0.25,
X,Y
0.9484 , 106.7575
0.8962 , 102.1117
0.8492 , 99.5640
0.8011 , 98.0654
0.7530 , 97.0163
0.7033 , 96.1172
0.6542 , 95.6676
0.6045 , 95.2180
0.5554 , 94.7684
0.5052 , 94.4687
0.4560 , 94.0191
0.4058 , 94.1689
0.3598 , 93.5695
0.3096 , 93.2698
0.2837 , 93.4196
0.2589 , 92.8202
0.2341 , 92.6703
0.2082 , 92.3706
0.1833 , 91.9210
0.1580 , 91.6213
0.1326 , 91.0218
0.1072 , 90.4223
0.0814 , 89.5232
0.0544 , 88.4741
0.0433 , 87.5749
0.0301 , 86.3760
0.0159 , 84.1281
0.0059 , 80.2316
0.0028 , 77.0845
