Xp0.50,
X,Y
0.4554 , 122.1143
0.5042 , 122.8247
0.5542 , 123.8474
0.6035 , 125.1078
0.6527 , 126.5340
0.7011 , 128.2895
0.7479 , 130.8942
0.7966 , 133.9122
0.8512 , 138.4600
0.8988 , 143.7527
0.4054 , 121.1444
0.3579 , 120.3951
0.3098 , 119.3460
0.2834 , 118.7466
0.2591 , 118.2970
0.2332 , 117.6975
0.2083 , 117.0981
0.1835 , 116.3488
0.1581 , 115.5995
0.1328 , 114.8501
0.1074 , 113.5014
0.0810 , 112.4523
0.0546 , 110.6540
0.0419 , 109.6049
0.0309 , 107.9564
0.0193 , 106.1580
0.0067 , 100.4632
0.0036 , 96.8665
0.0026 , 89.3733
