Xp0.25,
X,Y
0.0113 , 82.1523
0.0058 , 76.4349
0.0371 , 86.7243
0.0629 , 88.5132
0.0888 , 89.6008
0.1146 , 90.3306
0.1404 , 91.0032
0.1663 , 91.4612
0.1921 , 91.8476
0.2179 , 92.2340
0.2438 , 92.5202
0.2696 , 92.8064
0.3213 , 93.3836
0.3730 , 93.7619
0.4246 , 94.1817
0.4763 , 94.2661
0.5022 , 94.5428
0.5280 , 94.6525
0.5538 , 94.8436
0.5797 , 95.2631
0.6055 , 95.0500
0.6313 , 95.5255
0.6572 , 95.3445
0.6830 , 95.8582
0.7089 , 95.8975
0.7347 , 96.6655
0.7605 , 96.7677
0.7864 , 97.6454
0.8117 , 98.6619
0.8380 , 99.0255
0.8638 , 100.5764
0.8897 , 101.3457
0.9155 , 103.2661
0.9413 , 106.1297
0.9574 , 106.6592
