Xp0.80,
X,Y
0.9011 , 271.7575
0.8521 , 266.5123
0.7993 , 260.6676
0.7492 , 254.5232
0.6985 , 247.7793
0.6489 , 240.8856
0.5988 , 234.1417
0.5503 , 227.3978
0.5007 , 221.1035
0.4522 , 214.9591
0.4015 , 208.6649
0.3509 , 202.5204
0.3050 , 197.1253
0.2796 , 194.1281
0.2554 , 190.9809
0.2295 , 187.5341
0.2037 , 183.9373
0.1778 , 180.4905
0.1525 , 176.5940
0.1256 , 171.9482
0.0982 , 166.7030
0.0698 , 160.4087
0.0477 , 153.8147
0.0361 , 149.6185
0.0277 , 145.7221
0.0156 , 138.2289
0.0053 , 123.0926
0.0028 , 115.0000
0.0009 , 98.0654
0.0012 , 79.4823
