BW-63,
X,Y
0.9133 , 17.3931
0.8569 , 17.0976
0.8043 , 16.8443
0.7741 , 16.6755
0.7157 , 16.3799
0.6670 , 16.1266
0.6105 , 15.8311
0.5784 , 15.6201
0.5540 , 15.5778
0.4966 , 15.1979
0.4703 , 15.0712
0.4489 , 14.9024
0.4148 , 14.7335
0.3583 , 14.4380
0.3340 , 14.3113
0.2999 , 14.1003
0.2502 , 13.8892
0.2249 , 13.7625
0.1947 , 13.5937
0.1723 , 13.4670
0.1509 , 13.3404
0.1217 , 13.1715
0.0954 , 13.0026
0.0876 , 12.9604
0.0808 , 12.8760
0.0750 , 12.8338
0.0662 , 12.7071
0.0584 , 12.6227
0.0506 , 12.5383
0.0399 , 12.3694
0.0331 , 12.2427
0.0253 , 12.0317
0.0204 , 11.9050
0.0136 , 11.6939
0.0088 , 11.3984
