BS-62,
X,Y
0.0046 , 14.0026
0.0114 , 17.0556
0.0090 , 15.7022
0.0175 , 18.2302
0.0261 , 19.3399
0.0367 , 20.2531
0.0512 , 21.1459
0.0677 , 22.0560
0.0876 , 22.8501
0.1067 , 23.5871
0.1285 , 24.1388
0.1492 , 24.6735
0.1697 , 25.1045
0.1902 , 25.5509
0.2107 , 25.6997
0.2317 , 25.9755
0.2507 , 26.0678
0.2735 , 26.4081
0.2972 , 26.6005
0.3222 , 26.7422
0.3426 , 26.9303
0.3638 , 27.0530
0.3837 , 27.2917
0.4032 , 27.4243
0.4251 , 27.6456
0.4463 , 27.7201
0.4671 , 27.9837
0.4867 , 27.9878
0.5043 , 28.1269
0.5283 , 28.2065
0.5487 , 28.3294
0.5679 , 28.5305
0.5914 , 28.5141
0.6084 , 28.6389
0.6283 , 28.7128
0.6503 , 28.7775
0.6709 , 28.9413
0.6954 , 29.0552
0.7196 , 29.1386
0.7406 , 29.2342
0.7613 , 29.2791
0.7804 , 29.3454
0.8016 , 29.3729
0.8221 , 29.4495
0.8417 , 29.4823
0.8612 , 29.4921
0.8823 , 29.5933
0.9025 , 29.6425
0.9246 , 29.6858
0.9459 , 29.7451
0.9593 , 29.7668
