BB-32,
X,Y
0.8520 , 14.5646
0.8023 , 14.4802
0.7468 , 14.3536
0.7254 , 14.2691
0.7001 , 14.2269
0.6738 , 14.2269
0.6485 , 14.1847
0.6241 , 14.1003
0.5969 , 14.0158
0.5725 , 13.9314
0.5501 , 13.9314
0.5239 , 13.8892
0.5005 , 13.7625
0.4752 , 13.6781
0.4479 , 13.5515
0.4216 , 13.5092
0.4021 , 13.5092
0.3739 , 13.3826
0.3476 , 13.2982
0.3223 , 13.2137
0.2950 , 13.1293
0.2726 , 13.0449
0.2512 , 13.0026
0.2249 , 12.9182
0.1743 , 12.6649
0.1480 , 12.5805
0.1207 , 12.4538
0.1003 , 12.3272
0.0837 , 12.2005
0.0730 , 12.0739
0.0613 , 11.9472
0.0526 , 11.8206
0.0409 , 11.6939
0.0312 , 11.4406
0.0214 , 11.1873
0.0156 , 10.9763
0.0107 , 10.7230
0.0049 , 10.2586
