BB-32,
X,Y
0.1200 , 12.3702
0.1400 , 12.5270
0.1600 , 12.6749
0.1800 , 12.8012
0.2000 , 12.8951
0.2200 , 12.9465
0.2400 , 12.9902
0.2600 , 13.0709
0.2800 , 13.1736
0.3000 , 13.2682
0.3200 , 13.3450
0.3400 , 13.3963
0.3600 , 13.4357
0.3800 , 13.4781
0.4000 , 13.5387
0.4200 , 13.6374
0.4400 , 13.7480
0.4600 , 13.8491
0.4800 , 13.9272
0.5000 , 13.9783
0.5200 , 14.0064
0.5400 , 14.0122
0.5600 , 14.0104
0.5800 , 14.0174
0.6000 , 14.0543
0.6200 , 14.1378
0.6400 , 14.2317
0.6600 , 14.2969
0.6800 , 14.3189
0.7000 , 14.3168
0.7200 , 14.3208
0.7400 , 14.3539
0.7600 , 14.4093
0.7800 , 14.4704
0.8000 , 14.5263
0.8200 , 14.5724
0.8400 , 14.6096
0.8600 , 14.6467
0.8800 , 14.6790
0.9000 , 14.7008
0.9200 , 14.7206
0.9542 , 14.7335
0.0983 , 12.3272
0.0779 , 12.1583
0.0574 , 11.9472
0.0438 , 11.6939
0.0292 , 11.3984
0.0166 , 10.9340
0.0097 , 10.5963
0.0049 , 10.0897
