PBac,
X,Y
0.0014 , 0.8653
0.9749 , 3.8266
0.9891 , 3.9772
0.9963 , 4.1734
0.0322 , 1.7491
0.0481 , 1.8389
0.0732 , 1.8989
0.0879 , 1.9214
0.1107 , 1.9590
0.1380 , 2.0115
0.1539 , 2.0340
0.1766 , 2.0566
0.2050 , 2.0867
0.2277 , 2.0944
0.2516 , 2.1244
0.2755 , 2.1545
0.3028 , 2.1846
0.3221 , 2.2147
0.3425 , 2.2148
0.3778 , 2.2524
0.4164 , 2.2976
0.4585 , 2.3353
0.4971 , 2.3804
0.5392 , 2.4255
0.5767 , 2.4856
0.6165 , 2.5607
0.6540 , 2.6282
0.6972 , 2.7406
0.7359 , 2.8381
0.7745 , 2.9729
0.8143 , 3.1227
0.8553 , 3.2874
0.8871 , 3.4296
0.9008 , 3.4821
0.9133 , 3.5270
0.9247 , 3.5719
0.9360 , 3.6169
0.9474 , 3.6618
0.9577 , 3.7142
0.9656 , 3.7666
0.9804 , 3.9012
0.9941 , 4.0582
