ZBac,
X,Y
-0.0020 , 0.9448
0.0487 , 1.2689
0.0767 , 1.3201
0.0892 , 1.3587
0.1105 , 1.3833
0.1742 , 1.4344
0.1997 , 1.4500
0.2232 , 1.4602
0.2469 , 1.4916
0.2964 , 1.5380
0.3193 , 1.5470
0.3421 , 1.5666
0.8969 , 2.7095
0.9186 , 2.8356
0.9388 , 2.9702
0.9698 , 3.2378
0.9831 , 3.4026
0.9949 , 3.5549
0.1363 , 1.4079
0.1509 , 1.4203
0.2747 , 1.5255
0.3788 , 1.6122
0.4152 , 1.6431
0.4547 , 1.6864
0.4974 , 1.7235
0.5359 , 1.7729
0.5765 , 1.8284
0.6150 , 1.8778
0.6545 , 1.9211
0.6930 , 2.0012
0.7347 , 2.0813
0.7732 , 2.2044
0.8127 , 2.3276
0.8512 , 2.4999
0.8835 , 2.6598
0.9053 , 2.8013
0.9282 , 2.8997
0.9511 , 3.0350
0.9594 , 3.1334
0.9771 , 3.3055
0.9927 , 3.4715
