PAac,
X,Y
-0.0013 , 2.0162
-0.0026 , 1.0317
0.0016 , 1.7404
0.0010 , 1.5508
0.0009 , 1.3914
0.0009 , 1.2320
0.0044 , 2.2531
0.0086 , 2.4445
0.0131 , 2.6745
0.0223 , 2.9340
0.0466 , 3.1195
0.0690 , 3.2464
0.0905 , 3.3176
0.1141 , 3.3995
0.1368 , 3.4736
0.1580 , 3.5099
0.1823 , 3.5614
0.2062 , 3.6178
0.2302 , 3.6376
0.2520 , 3.7027
0.2759 , 3.7309
0.2977 , 3.7834
0.3200 , 3.8183
0.3424 , 3.8573
0.3674 , 3.9072
0.3864 , 3.9290
0.4131 , 3.9811
0.4326 , 4.0084
0.4577 , 4.0365
0.4798 , 4.0743
0.5020 , 4.0900
0.5264 , 4.1431
0.5464 , 4.1585
0.5732 , 4.2005
0.5932 , 4.2452
0.6173 , 4.2883
0.6398 , 4.3368
0.6609 , 4.3527
0.6873 , 4.4054
0.7066 , 4.4329
0.7332 , 4.4913
0.7533 , 4.5338
0.7777 , 4.5809
0.7999 , 4.6352
0.8216 , 4.6554
0.8475 , 4.7200
0.8673 , 4.7879
0.8920 , 4.8063
0.9098 , 4.8909
0.9309 , 4.9142
0.9538 , 5.0107
0.9764 , 5.1065
0.9891 , 5.2955
