f3,
X,Y
0.0600 , 451.5922
0.1000 , 500.5354
0.1200 , 519.3885
0.1400 , 537.9933
0.1600 , 555.2683
0.1800 , 571.1517
0.2000 , 585.9300
0.2200 , 599.4531
0.2400 , 612.2372
0.2600 , 624.2422
0.2800 , 635.8146
0.3000 , 646.6042
0.3200 , 656.7113
0.3400 , 666.6460
0.3600 , 675.9593
0.3800 , 685.3777
0.4000 , 695.4381
0.4200 , 706.1433
0.4800 , 732.1432
0.5000 , 739.8290
0.5200 , 748.7434
0.5400 , 758.0591
0.5600 , 767.4732
0.5800 , 777.3663
0.6000 , 787.3134
0.6200 , 797.4892
0.6400 , 808.4365
0.6600 , 819.6637
0.6800 , 831.5318
0.7000 , 843.9391
0.7200 , 857.1558
0.7400 , 871.7250
0.7600 , 887.0802
0.7800 , 903.6789
0.8000 , 921.5610
0.8200 , 941.5731
0.8400 , 963.7440
0.8600 , 987.0559
0.8800 , 1011.8799
0.9000 , 1035.4804
0.9200 , 1057.1262
0.9400 , 1078.0327
0.9600 , 1097.9548
0.4512 , 717.6634
0.0101 , 340.4729
0.0063 , 323.7830
0.0047 , 305.4242
0.8499 , 976.3561
0.9962 , 1141.5855
0.9765 , 1111.5438
0.9514 , 1086.5090
0.7513 , 879.5549
0.6498 , 812.7955
0.5505 , 762.7260
0.3512 , 670.9318
0.2496 , 617.5243
0.0503 , 438.9430
0.0298 , 398.8873
0.0177 , 370.5146
0.0412 , 422.2531
0.0753 , 472.3227
