CS-AKAC803,
X,Y
0.9934 , 393.0233
0.9758 , 390.9561
0.9516 , 387.8553
0.9255 , 385.7881
0.9019 , 383.2041
0.8764 , 380.6202
0.8516 , 378.0362
0.8215 , 375.4522
0.7993 , 373.1266
0.7496 , 369.7674
0.6986 , 366.9251
0.6489 , 364.3411
0.5999 , 362.2739
0.5502 , 360.4651
0.5006 , 358.1395
0.4502 , 356.0724
0.4012 , 354.0052
0.3522 , 352.1964
0.3032 , 349.6124
0.2816 , 349.3540
0.2509 , 347.0284
0.2018 , 343.4109
0.1829 , 341.0853
0.1639 , 339.2765
0.1410 , 337.4677
0.1227 , 334.1085
0.1018 , 331.2661
0.0822 , 326.8734
0.0593 , 320.4134
0.0292 , 305.4264
0.0102 , 282.6873
