CS-SHAC,
X,Y
0.9916 , 155.8140
0.9772 , 153.4884
0.9511 , 151.4212
0.9256 , 149.6124
0.9001 , 148.5788
0.8759 , 147.8036
0.8517 , 146.5116
0.8217 , 144.9612
0.8007 , 143.9276
0.7511 , 142.3773
0.7001 , 141.0853
0.6498 , 139.2765
0.6007 , 137.9845
0.5504 , 136.9509
0.5001 , 135.6589
0.4504 , 134.3669
0.4007 , 133.0749
0.3517 , 131.2661
0.3007 , 130.2326
0.2504 , 128.6822
0.2014 , 126.8734
0.1818 , 126.3566
0.1615 , 125.0646
0.1412 , 124.0310
0.1210 , 123.2558
0.1007 , 122.2222
0.0804 , 120.6718
0.0641 , 119.3798
0.0288 , 114.4703
0.0092 , 109.0439
