CS-MSAC,
X,Y
0.9957 , 220.1550
0.9931 , 210.8527
0.9845 , 204.6512
0.9760 , 202.3256
0.9525 , 197.4160
0.9270 , 195.0904
0.9015 , 192.7649
0.8767 , 191.7313
0.8518 , 190.4393
0.8218 , 189.4057
0.8022 , 188.8889
0.7518 , 187.5969
0.7021 , 186.8217
0.6740 , 185.7881
0.6008 , 185.2713
0.5512 , 184.7545
0.5237 , 184.2377
0.4512 , 183.2041
0.4008 , 182.4289
0.3512 , 181.9121
0.3008 , 180.6202
0.2512 , 179.3282
0.2008 , 177.7778
0.1806 , 177.2610
0.1609 , 175.9690
0.1407 , 174.4186
0.1204 , 173.6434
0.1002 , 172.3514
0.0805 , 170.2842
0.0688 , 168.9922
0.0335 , 163.5659
0.0112 , 155.2972
