AC950-120,
X,Y
0.9903 , 246.9064
0.9505 , 243.4541
0.9001 , 240.7320
0.8506 , 238.3740
0.8048 , 236.1973
0.7511 , 234.2042
0.7007 , 232.2104
0.6521 , 230.7626
0.6022 , 229.1330
0.5527 , 227.3212
0.4995 , 226.2383
0.4537 , 225.1542
0.3968 , 223.8900
0.3593 , 222.2580
0.3390 , 222.4438
0.3135 , 220.9918
0.3061 , 221.1752
0.2645 , 219.1799
0.2548 , 219.5458
0.2067 , 216.8233
0.2007 , 217.3707
0.1526 , 214.6482
0.1456 , 213.3749
0.1031 , 210.4693
0.0883 , 208.4691
0.0804 , 207.9243
0.0702 , 206.1053
0.0614 , 204.6502
0.0503 , 202.2852
0.0415 , 200.1018
0.0309 , 196.8262
0.0207 , 192.0939
0.0101 , 184.6304
0.0105 , 181.1708
0.0073 , 176.8014
0.0054 , 172.4317
0.0035 , 166.2412
