C600-90,
X,Y
0.9922 , 204.6642
0.9519 , 201.6791
0.9008 , 199.4403
0.8505 , 198.1343
0.8007 , 197.3881
0.7515 , 196.0821
0.7036 , 194.9627
0.6533 , 193.8433
0.6022 , 192.9104
0.5533 , 191.7910
0.5021 , 190.6716
0.4538 , 189.7388
0.4021 , 188.9925
0.3585 , 188.0597
0.3344 , 188.2463
0.3092 , 187.1269
0.2870 , 186.9403
0.2595 , 185.8209
0.2514 , 186.0075
0.2045 , 184.5149
0.1524 , 182.8358
0.1016 , 180.2239
0.0893 , 179.4776
0.0794 , 178.7313
0.0703 , 177.6119
0.0594 , 177.0522
0.0509 , 176.1194
0.0400 , 173.6940
0.0305 , 171.8284
0.0186 , 167.5373
0.0091 , 161.7537
0.0049 , 156.9030
0.0044 , 154.1045
0.0015 , 149.8134
