AC850-120,
X,Y
0.9883 , 186.8194
0.9504 , 185.0055
0.9347 , 185.7367
0.9009 , 183.9220
0.8514 , 183.0206
0.8014 , 182.6655
0.7529 , 182.3102
0.7020 , 181.7732
0.6021 , 180.5168
0.5507 , 179.9799
0.5008 , 179.0786
0.4504 , 178.7236
0.4004 , 178.5506
0.3560 , 177.8304
0.3347 , 177.4701
0.3061 , 176.9291
0.2871 , 176.9325
0.2533 , 176.2103
0.2038 , 175.1268
0.1506 , 173.8619
0.1016 , 171.8680
0.0905 , 170.9596
0.0817 , 170.5970
0.0702 , 169.8708
0.0234 , 163.5064
0.0105 , 160.2312
0.0063 , 156.2262
0.0026 , 153.1314
0.0012 , 149.6721
