C400-90,
X,Y
0.0018 , 175.2407
0.0032 , 181.3476
0.0066 , 186.1594
0.0108 , 191.3416
0.0212 , 200.5959
0.0311 , 205.7791
0.0419 , 208.9269
0.0523 , 211.5195
0.0636 , 213.7422
0.0725 , 215.5943
0.0814 , 217.2614
0.0922 , 218.1886
0.1040 , 219.1160
0.1519 , 222.8259
0.2040 , 225.9813
0.2120 , 226.1679
0.2519 , 227.8407
0.2665 , 228.3985
0.3055 , 230.0712
0.3168 , 230.4433
0.3430 , 231.1884
0.3553 , 231.3757
0.3989 , 232.8642
0.4539 , 236.0202
0.5022 , 236.0291
0.5534 , 237.3339
0.6032 , 239.0086
0.6535 , 241.2384
0.7056 , 243.2836
0.7521 , 245.1427
0.8019 , 247.1874
0.8521 , 249.9725
0.9005 , 251.8319
0.9493 , 254.9867
0.9902 , 258.3252
