AC1000-90,
X,Y
0.9889 , 212.5144
0.9503 , 209.5014
0.9003 , 206.8590
0.8517 , 204.9667
0.8002 , 202.6985
0.7506 , 201.1807
0.7001 , 199.4751
0.6506 , 198.1447
0.6191 , 197.1959
0.5501 , 195.2959
0.5010 , 194.1531
0.4519 , 193.0103
0.4000 , 192.2412
0.3561 , 190.7255
0.3409 , 191.0946
0.3133 , 189.5850
0.3061 , 189.9571
0.2651 , 188.2551
0.2518 , 188.4375
0.2113 , 186.3609
0.2046 , 186.7332
0.1527 , 183.9026
0.1017 , 180.3228
0.0893 , 179.0063
0.0812 , 178.0662
0.0707 , 176.9379
0.0631 , 175.6232
0.0497 , 173.5567
0.0407 , 171.1170
0.0307 , 168.3022
0.0206 , 164.5503
0.0092 , 156.4875
0.0072 , 151.0520
0.0044 , 147.4902
0.0020 , 142.6168
