C400-90,
X,Y
0.9795 , 230.5970
0.9255 , 227.2388
0.9028 , 228.5448
0.8828 , 225.9328
0.8515 , 220.5224
0.8023 , 218.8433
0.7525 , 217.5373
0.7018 , 216.0448
0.6539 , 214.7388
0.6032 , 213.2463
0.5520 , 212.1269
0.5013 , 210.4478
0.4515 , 209.1418
0.3994 , 208.3955
0.3562 , 207.2761
0.3401 , 206.9030
0.3117 , 205.9701
0.2581 , 204.2910
0.2031 , 202.9851
0.1472 , 200.5597
0.1007 , 197.5746
0.0898 , 196.6418
0.0794 , 195.8955
0.0680 , 194.7761
0.0604 , 193.6567
0.0510 , 192.5373
0.0401 , 190.4851
0.0282 , 187.3134
0.0197 , 183.5821
0.0083 , 176.6791
0.0035 , 172.2015
0.0021 , 168.8433
0.0011 , 163.9925
