AC850-90,
X,Y
0.9888 , 176.5323
0.9511 , 174.6442
0.9020 , 173.5013
0.8530 , 172.9207
0.8029 , 172.3398
0.7515 , 171.3834
0.7010 , 171.1771
0.6543 , 170.5974
0.6052 , 170.0168
0.5533 , 169.4351
0.5047 , 168.4798
0.4523 , 168.0854
0.4013 , 167.3167
0.3537 , 166.5492
0.3351 , 166.5422
0.3065 , 165.7819
0.2841 , 165.5861
0.2536 , 165.0124
0.2007 , 164.0556
0.1526 , 162.7257
0.1021 , 160.8327
0.0897 , 160.2658
0.0802 , 159.7000
0.0735 , 159.3227
0.0611 , 158.5685
0.0525 , 157.8156
0.0406 , 156.4993
0.0311 , 155.3713
0.0206 , 152.5563
0.0134 , 147.4936
0.0020 , 140.7427
