AC3020,
X,Y
0.0330 , 354.4122
0.0528 , 379.5022
0.0739 , 404.6939
0.0946 , 434.4829
0.1154 , 454.7754
0.1363 , 473.1308
0.1571 , 487.0017
0.1779 , 502.6137
0.1988 , 517.0649
0.2196 , 529.7751
0.2405 , 539.8473
0.2613 , 551.1857
0.2821 , 559.1475
0.3030 , 567.6369
0.3238 , 576.1615
0.3446 , 582.2944
0.3655 , 588.8845
0.3863 , 593.2586
0.4071 , 597.6328
0.4279 , 604.9088
0.4492 , 606.3067
0.4696 , 611.9990
0.4904 , 614.3206
0.5112 , 616.9713
0.5322 , 616.2765
0.5529 , 619.1775
0.5737 , 622.8599
0.5945 , 625.3934
0.6153 , 625.8634
0.6362 , 626.4389
0.6570 , 629.7579
0.6778 , 629.9113
0.6986 , 630.8034
0.7194 , 632.5396
0.7403 , 633.3261
0.7611 , 633.5851
0.7819 , 635.3213
0.8027 , 638.6403
0.8236 , 639.7434
0.8444 , 640.3189
0.8652 , 642.3716
0.8860 , 644.1078
0.9068 , 645.1054
0.9277 , 647.7913
0.9485 , 653.0624
0.9705 , 658.2547
0.9902 , 681.4900
