AC3020_f3,
X,Y
0.0308 , 340.5487
0.0458 , 366.5233
0.1334 , 455.3781
0.1614 , 477.3338
0.1893 , 500.9563
0.2651 , 556.3272
0.2940 , 567.1858
0.3283 , 587.6533
0.3572 , 597.2360
0.3861 , 607.3755
0.4150 , 618.1544
0.4438 , 626.8178
0.4727 , 632.4556
0.5016 , 637.0299
0.5305 , 638.7868
0.5594 , 640.4943
0.5882 , 642.5884
0.6171 , 644.2836
0.6460 , 645.9694
0.6749 , 648.8708
0.7037 , 650.3525
0.7326 , 651.5187
0.7615 , 652.8426
0.7904 , 654.0273
0.8193 , 655.6606
0.8481 , 656.6288
0.8770 , 657.9063
0.9059 , 660.7614
0.9348 , 665.0083
0.9637 , 671.9000
0.9889 , 685.3179
0.1117 , 436.6217
0.0898 , 415.1365
0.0762 , 397.9518
0.0595 , 378.1885
0.2150 , 519.9997
0.2422 , 539.7720
