AC0520,
X,Y
0.0314 , 52.3985
0.0508 , 55.7259
0.0735 , 57.2714
0.0939 , 65.5211
0.1164 , 64.6281
0.1343 , 66.3444
0.1564 , 70.3076
0.1772 , 72.3604
0.1980 , 72.8304
0.2183 , 72.2967
0.2393 , 72.0962
0.2605 , 75.2955
0.2813 , 76.8207
0.3021 , 78.8735
0.3230 , 80.1876
0.3426 , 79.4639
0.3642 , 80.3555
0.3854 , 83.0748
0.4062 , 83.1227
0.4271 , 85.2810
0.4479 , 87.4393
0.4700 , 86.4919
0.4882 , 87.0639
0.5095 , 88.4622
0.5329 , 89.7058
0.5533 , 92.8442
0.5712 , 92.1774
0.5919 , 92.8496
0.6138 , 93.7369
0.6358 , 92.9895
0.6578 , 93.8381
0.6782 , 96.6138
0.6964 , 97.9949
0.7177 , 96.9502
0.7390 , 100.0252
0.7610 , 99.8272
0.7808 , 99.1991
0.8017 , 101.4514
0.8223 , 103.0798
0.8452 , 105.0397
0.8656 , 107.1342
0.8842 , 106.5997
0.9043 , 108.3891
0.9256 , 110.6315
0.9492 , 113.4768
0.9694 , 118.7768
0.9879 , 136.4333
1.0016 , 146.6431
