AC1020,
X,Y
0.0297 , 124.1470
0.0505 , 131.8526
0.0713 , 141.7590
0.0922 , 146.8718
0.1117 , 147.0953
0.1322 , 150.9434
0.1538 , 154.9728
0.1755 , 159.6202
0.1964 , 162.2009
0.2171 , 165.4140
0.2379 , 165.8840
0.2588 , 167.4092
0.2796 , 169.5675
0.3004 , 171.6202
0.3212 , 173.9895
0.3420 , 174.7761
0.3629 , 176.6178
0.3837 , 176.6657
0.4045 , 177.8743
0.4253 , 181.0878
0.4475 , 180.8141
0.4664 , 182.1396
0.4865 , 185.0110
0.5094 , 185.9176
0.5311 , 187.1799
0.5503 , 188.6398
0.5698 , 189.6015
0.5906 , 190.1911
0.6125 , 190.4735
0.6348 , 190.9891
0.6560 , 192.5247
0.6752 , 194.2844
0.6942 , 195.1497
0.7156 , 195.6052
0.7376 , 196.6092
0.7592 , 197.6027
0.7806 , 198.5448
0.8001 , 203.4760
0.8193 , 202.1032
0.8425 , 202.6099
0.8626 , 206.1522
0.8834 , 206.9388
0.9034 , 206.0001
0.9256 , 209.0012
0.9475 , 211.9961
0.9683 , 217.8669
0.9859 , 233.6598
1.0008 , 248.3963
