AC0520,
X,Y
0.0296 , 50.9723
0.0465 , 56.7000
0.0737 , 58.1849
0.1010 , 62.5144
0.1288 , 63.2895
0.1543 , 66.9038
0.1810 , 69.0986
0.2053 , 70.5769
0.2326 , 70.6396
0.2569 , 71.4067
0.2824 , 74.3099
0.3062 , 77.2091
0.3323 , 77.2691
0.3567 , 78.7474
0.3828 , 80.9408
0.4094 , 80.2911
0.4338 , 81.7693
0.4599 , 83.9627
0.4848 , 84.0201
0.5086 , 86.2082
0.5335 , 87.6878
0.5590 , 88.4576
0.5839 , 89.2261
0.6089 , 89.2835
0.6338 , 92.1853
0.6582 , 92.9525
0.6848 , 93.0138
0.7074 , 93.7770
0.7335 , 95.2593
0.7585 , 98.1611
0.7822 , 98.2158
0.8078 , 99.6968
0.8315 , 101.1737
0.8553 , 103.3618
0.8814 , 104.1329
0.9046 , 107.0308
0.9278 , 110.6397
0.9550 , 115.6803
0.9753 , 122.8382
0.9963 , 148.4866
