AC1020,
X,Y
0.0269 , 122.0777
0.0506 , 130.6659
0.0785 , 139.2633
0.1057 , 144.3039
0.1278 , 148.6213
0.1516 , 153.6538
0.1759 , 158.6877
0.2043 , 159.4642
0.2304 , 160.9465
0.2571 , 163.8524
0.2803 , 165.3280
0.3075 , 168.2351
0.3330 , 170.4272
0.3591 , 173.3317
0.3823 , 174.0962
0.4102 , 175.5825
0.4345 , 177.0608
0.4589 , 179.2502
0.4832 , 180.7285
0.5087 , 181.4983
0.5331 , 182.9766
0.5580 , 183.7450
0.5818 , 185.2220
0.6085 , 188.1278
0.6334 , 188.8963
0.6589 , 190.3773
0.6833 , 189.7222
0.7082 , 193.3352
0.7314 , 191.9663
0.7592 , 194.8748
0.7824 , 195.6393
0.8079 , 198.5425
0.8334 , 197.8901
0.8572 , 200.7892
0.8821 , 203.6911
0.9059 , 206.5903
0.9280 , 208.7743
0.9511 , 213.0944
0.9749 , 221.6826
0.9953 , 249.4630
0.9802 , 230.9391
