AC4020,
X,Y
0.1272 , 684.3579
0.2770 , 869.8876
0.0310 , 514.6241
0.0531 , 560.1865
0.0775 , 604.3320
0.1020 , 645.6330
0.1543 , 722.5541
0.2008 , 786.6616
0.2286 , 820.8595
0.1798 , 759.5910
0.2530 , 846.5158
0.3018 , 890.7174
0.3239 , 910.6794
0.3564 , 932.0877
0.3703 , 937.8087
0.4028 , 953.5281
0.4312 , 960.7047
0.4544 , 967.1581
0.4828 , 975.7569
0.5095 , 980.7961
0.5345 , 984.4091
0.5600 , 986.6012
0.5843 , 989.5017
0.6104 , 992.4062
0.6348 , 993.8845
0.6597 , 995.3641
0.6835 , 998.9744
0.7107 , 1001.8816
0.7351 , 1004.0710
0.7589 , 1004.8368
0.7855 , 1007.0315
0.8093 , 1008.5085
0.8348 , 1009.2783
0.8597 , 1012.1802
0.8858 , 1015.0847
0.9102 , 1017.2741
0.9334 , 1018.7497
0.9601 , 1025.2111
0.9786 , 1033.0762
0.9943 , 1053.0236
