BKC-600-2,
X,Y
0.9910 , 150.4333
0.9727 , 149.0468
0.9474 , 147.6603
0.9017 , 145.5806
0.8540 , 145.5806
0.8055 , 144.1941
0.7556 , 143.5009
0.7064 , 142.8076
0.6565 , 142.8076
0.6066 , 142.8076
0.5567 , 142.1144
0.5061 , 141.4211
0.4562 , 141.4211
0.4056 , 141.4211
0.3585 , 140.0347
0.3093 , 139.3414
0.2833 , 137.9549
0.2587 , 138.6482
0.2320 , 139.3414
0.2067 , 138.6482
0.1786 , 136.5685
0.1554 , 136.5685
0.1266 , 133.7955
0.1013 , 132.4090
0.0725 , 131.0225
0.0472 , 126.8631
0.0352 , 124.0901
