HKC-800-1,
X,Y
0.9999 , 729.9827
0.9711 , 725.1300
0.9543 , 725.1300
0.9226 , 719.5841
0.8720 , 716.8111
0.8573 , 718.1976
0.8411 , 716.8111
0.8235 , 714.0381
0.7729 , 711.9584
0.7251 , 708.4922
0.6731 , 705.0260
0.6247 , 702.2530
0.5719 , 699.4801
0.5220 , 691.8544
0.4679 , 684.9220
0.4194 , 676.6031
0.3519 , 657.8856
0.3091 , 643.3276
0.2922 , 639.8614
0.2725 , 630.1560
0.2493 , 620.4506
0.2268 , 605.1993
0.2008 , 591.3345
0.1748 , 573.3102
0.1502 , 555.9792
0.1256 , 536.5685
0.0995 , 513.6915
0.0700 , 480.4159
0.0489 , 452.6863
0.0404 , 442.9809
0.0369 , 433.9688
0.0257 , 414.5581
0.0186 , 395.1473
0.0137 , 388.2149
0.0059 , 352.8596
0.0017 , 328.5962
0.0003 , 291.1612
-0.0012 , 257.8856
-0.0019 , 233.6222
-0.0019 , 210.0520
-0.0026 , 189.9480
-0.0020 , 152.5130
-0.0013 , 121.3172
-0.0013 , 89.4281
-0.0006 , 66.5511
-0.0021 , 44.3674
-0.0028 , 22.1837
