HKC-700-2,
X,Y
0.9934 , 436.0485
0.9793 , 431.8891
0.9589 , 429.8094
0.9132 , 421.4905
0.8640 , 418.0243
0.8148 , 415.2513
0.7649 , 413.1716
0.7158 , 411.7851
0.6659 , 409.7054
0.6153 , 406.9324
0.5647 , 405.5459
0.5155 , 403.4662
0.4649 , 401.3865
0.4150 , 397.9203
0.3573 , 393.7608
0.3102 , 387.5217
0.2568 , 379.2028
0.2315 , 373.6568
0.1950 , 367.4177
0.1767 , 355.6326
0.1493 , 345.9272
0.1226 , 334.1421
0.0959 , 319.5841
0.0741 , 305.0260
0.0466 , 283.5355
0.0305 , 267.5910
0.0171 , 250.9532
0.0030 , 223.9168
