AC-313.15-20-540-8,
X,Y
0.9845 , 219.0875
0.9730 , 215.5660
0.9607 , 214.2491
0.9422 , 212.0532
0.9237 , 210.7389
0.8858 , 208.1108
0.8700 , 208.1178
0.8497 , 205.9227
0.8338 , 205.9297
0.8189 , 204.6138
0.8030 , 204.1800
0.7792 , 202.8681
0.7581 , 203.7590
0.7396 , 202.8856
0.7246 , 201.1290
0.7096 , 200.6947
0.6920 , 200.2617
0.6753 , 198.9467
0.6612 , 198.0713
0.6453 , 198.0783
0.6339 , 197.6425
0.6162 , 195.4462
0.5960 , 193.6919
0.5766 , 193.2597
0.5387 , 192.8356
0.5220 , 193.2838
0.4973 , 191.5314
0.5123 , 192.4064
0.4418 , 190.6743
0.4268 , 190.2401
0.4180 , 190.2439
0.4048 , 189.3682
0.3678 , 188.0620
0.3546 , 187.6271
0.3185 , 187.2022
0.3009 , 186.7691
0.2841 , 185.0133
0.2559 , 184.1441
0.2383 , 183.2703
0.2207 , 181.0740
0.2022 , 179.7597
0.1802 , 177.1246
0.1652 , 176.6904
0.1511 , 175.3742
0.1388 , 174.0572
0.1141 , 171.4233
0.1027 , 170.1059
0.0868 , 167.4680
0.0657 , 163.0693
0.0428 , 157.7897
0.0296 , 152.5059
0.0181 , 145.0172
0.0085 , 140.1726
0.0032 , 134.0036
