AC-313.15-20-540-8,
X,Y
0.9906 , 220.1867
0.9669 , 214.2463
0.9338 , 212.0569
0.8779 , 208.3347
0.8409 , 206.5878
0.8101 , 205.4993
0.7678 , 203.7548
0.7308 , 203.1099
0.7176 , 201.5729
0.6841 , 200.4856
0.6528 , 199.3974
0.6268 , 198.0864
0.5867 , 195.2388
0.5303 , 193.5005
0.5044 , 192.1895
0.4326 , 190.4579
0.4110 , 190.0266
0.3612 , 188.7262
0.3092 , 187.4267
0.2907 , 185.8920
0.2471 , 184.1480
0.2132 , 180.1957
0.1722 , 177.3485
0.1441 , 173.6141
0.1071 , 169.8835
0.0864 , 168.3498
0.0639 , 163.2905
0.0511 , 159.9901
0.0349 , 153.6055
0.0217 , 146.9993
0.0107 , 143.0369
