AC-313.15-20-720-8,
X,Y
0.0200 , 178.5039
0.0400 , 190.6257
0.0600 , 198.8034
0.0800 , 204.4436
0.1000 , 208.9020
0.1200 , 211.5840
0.1400 , 214.3024
0.1600 , 215.8971
0.1800 , 216.7741
0.2000 , 218.0692
0.2200 , 219.4034
0.2400 , 220.3775
0.2600 , 221.8022
0.2800 , 223.7533
0.3000 , 225.2658
0.3200 , 226.4701
0.3400 , 228.7648
0.3600 , 230.2350
0.3800 , 231.6760
0.4000 , 233.0544
0.4200 , 233.2198
0.4400 , 234.1050
0.4600 , 234.5185
0.4800 , 235.2477
0.5000 , 236.4308
0.5200 , 238.1340
0.5400 , 239.7706
0.5600 , 240.8368
0.5800 , 241.2923
0.6000 , 242.5050
0.6200 , 243.4744
0.6400 , 244.1259
0.6600 , 244.8882
0.6800 , 245.9987
0.7000 , 246.8521
0.7200 , 247.6315
0.7400 , 249.4580
0.7600 , 251.2611
0.7800 , 252.5345
0.8000 , 253.1203
0.8200 , 253.3777
0.8400 , 254.4335
0.8600 , 256.0037
0.8800 , 256.8492
0.9000 , 258.3014
0.9200 , 259.8019
0.9400 , 260.7843
0.9600 , 262.4306
0.9800 , 264.6328
