AC-313.15-20-720-8,
X,Y
0.9896 , 265.3698
0.9716 , 263.1737
0.9460 , 261.2014
0.9130 , 259.6731
0.8659 , 257.2695
0.8408 , 255.5173
0.7919 , 253.7756
0.7553 , 252.0285
0.7333 , 249.3934
0.6892 , 246.7680
0.6492 , 245.2428
0.6108 , 243.9373
0.5611 , 240.8736
0.5316 , 239.7846
0.4990 , 236.0521
0.4487 , 234.5314
0.3985 , 232.7903
0.3505 , 229.9462
0.3188 , 226.2134
0.2893 , 224.6836
0.2699 , 222.4881
0.2426 , 220.2961
0.2166 , 218.5443
0.1849 , 216.5747
0.1519 , 215.4872
0.1211 , 211.0927
0.0959 , 208.4590
0.0731 , 202.0774
0.0572 , 198.3375
0.0488 , 194.1535
0.0339 , 189.0909
0.0251 , 183.1439
0.0167 , 174.9926
0.0088 , 168.6044
0.0075 , 160.4501
