700-3h,
X,Y
0.0466 , 107.0303
0.2991 , 114.4016
0.9011 , 118.2972
0.9594 , 119.6926
0.9783 , 119.3390
0.9906 , 120.1779
0.9462 , 119.3663
0.9311 , 118.9545
0.9142 , 118.5442
0.8792 , 118.1493
0.8594 , 118.1661
0.8396 , 117.7583
0.8198 , 117.7751
0.8009 , 117.7911
0.7792 , 117.3849
0.7604 , 117.4010
0.7311 , 117.0012
0.7000 , 116.1783
0.6755 , 116.1992
0.6491 , 116.6462
0.6245 , 116.2424
0.6000 , 115.8386
0.5745 , 115.8603
0.5491 , 115.8819
0.5302 , 115.8979
0.5104 , 115.9148
0.4896 , 115.9324
0.4708 , 115.5238
0.4500 , 115.5414
0.4302 , 115.1336
0.4094 , 115.1512
0.3906 , 115.1672
0.3698 , 114.7602
0.3519 , 114.7755
0.3358 , 114.3645
0.3217 , 114.3765
0.2802 , 113.1378
0.2585 , 113.1563
0.2406 , 112.7469
0.2255 , 112.7597
0.2113 , 112.7717
0.2000 , 112.7813
0.1896 , 112.3655
0.1802 , 111.9489
0.1689 , 111.9585
0.1594 , 111.5419
0.1500 , 111.1253
0.1406 , 111.1333
0.1311 , 110.7167
0.1217 , 110.3000
0.1113 , 109.8842
0.1009 , 109.8930
0.0915 , 109.0518
0.0811 , 108.6360
0.0708 , 108.2202
0.0594 , 107.8052
0.0330 , 105.2798
0.0217 , 104.0155
0.0094 , 100.6289
