800-45m,
X,Y
0.9755 , 197.1776
0.9594 , 196.3345
0.9434 , 195.0665
0.9311 , 194.2219
0.9142 , 193.8042
0.8991 , 192.5358
0.8792 , 192.1193
0.8594 , 191.2779
0.8396 , 190.8614
0.8189 , 190.4452
0.8000 , 190.0283
0.7792 , 189.1873
0.7585 , 189.1961
0.7302 , 188.3583
0.7000 , 188.3711
0.6745 , 188.3819
0.6500 , 187.5425
0.6245 , 187.1284
0.5991 , 187.1392
0.5745 , 186.7247
0.5491 , 186.7355
0.5292 , 186.3190
0.5094 , 185.9025
0.4887 , 185.9113
0.4698 , 185.0695
0.4500 , 185.0779
0.4302 , 185.0863
0.4094 , 184.6702
0.3906 , 184.2533
0.3698 , 184.2621
0.3509 , 183.8452
0.3349 , 183.4271
0.3198 , 183.0086
0.3009 , 183.0166
0.2792 , 182.6009
0.2594 , 182.1844
0.2396 , 181.7679
0.2255 , 181.3489
0.2094 , 180.5059
0.2000 , 180.5099
0.1906 , 180.0890
0.1792 , 179.6689
0.1689 , 179.2484
0.1594 , 179.2524
0.1491 , 178.4069
0.1396 , 177.5611
0.1292 , 177.1405
0.1189 , 176.7200
0.1094 , 176.2991
0.0991 , 175.0287
0.0887 , 174.1833
0.0792 , 172.9125
0.0689 , 172.0671
0.0594 , 170.3713
0.0481 , 168.6764
0.0387 , 166.1309
0.0292 , 162.7354
0.0198 , 158.9151
0.0094 , 152.1206
0.0047 , 144.8988
0.0028 , 132.5767
