750-4h,
X,Y
0.0044 , 162.6459
0.0163 , 171.5509
0.0250 , 181.3340
0.0443 , 190.5346
0.0636 , 196.1380
0.0829 , 200.3025
0.1021 , 203.7116
0.1214 , 206.1135
0.1407 , 208.2635
0.1600 , 210.2697
0.1793 , 211.6284
0.1985 , 213.1310
0.2178 , 214.0940
0.2371 , 215.2009
0.2564 , 216.2358
0.2757 , 217.0190
0.2949 , 217.7661
0.3142 , 218.5493
0.3335 , 218.5050
0.3528 , 219.1802
0.3721 , 219.8914
0.3914 , 220.2429
0.4106 , 220.7023
0.4299 , 221.0538
0.4492 , 221.7290
0.4685 , 222.1164
0.4878 , 221.9283
0.5070 , 222.3517
0.5263 , 222.7751
0.5456 , 223.1986
0.5649 , 223.2982
0.5842 , 223.8295
0.6034 , 224.1810
0.6227 , 224.6404
0.6420 , 224.8480
0.6613 , 225.2714
0.6806 , 225.5509
0.6998 , 226.1542
0.7191 , 226.3618
0.7384 , 226.8212
0.7577 , 227.4964
0.7770 , 227.9558
0.7962 , 228.6670
0.8155 , 229.3782
0.8348 , 230.0893
0.8541 , 231.1614
0.8734 , 232.4951
0.8927 , 233.9259
0.9119 , 235.0650
0.9312 , 236.5231
0.9505 , 237.9177
0.9698 , 239.1685
0.9898 , 239.9124
