800-1h15m,
X,Y
0.0075 , 168.6984
0.0222 , 179.7025
0.0376 , 188.2117
0.0569 , 194.2399
0.0762 , 198.8309
0.0955 , 202.5596
0.1148 , 205.0306
0.1341 , 207.2861
0.1534 , 209.3619
0.1727 , 210.6832
0.1920 , 212.1481
0.2113 , 213.1460
0.2306 , 214.3954
0.2499 , 215.3573
0.2692 , 216.2474
0.2885 , 217.1016
0.3079 , 217.2011
0.3272 , 218.1631
0.3465 , 218.8376
0.3658 , 219.2965
0.3851 , 219.9710
0.4044 , 220.5377
0.4237 , 220.8169
0.4430 , 221.3117
0.4623 , 221.4113
0.4816 , 222.4236
0.5009 , 222.6166
0.5202 , 222.9677
0.5395 , 223.4266
0.5588 , 223.9214
0.5781 , 224.2725
0.5974 , 224.7314
0.6167 , 225.1544
0.6360 , 225.6133
0.6553 , 226.0722
0.6746 , 226.5671
0.6939 , 226.9182
0.7133 , 227.2693
0.7324 , 228.0446
0.7519 , 228.4745
0.7712 , 228.9334
0.7905 , 229.6079
0.8105 , 230.5731
0.8285 , 231.6226
0.8484 , 232.5219
0.8677 , 232.8726
0.8870 , 234.2609
0.9063 , 235.6670
0.9256 , 237.2757
0.9449 , 238.2616
0.9642 , 239.3433
0.9835 , 241.3113
0.9976 , 242.1977
