750-2h,
X,Y
0.9896 , 183.5993
0.9725 , 183.1787
0.9583 , 182.7568
0.9289 , 181.9134
0.9431 , 182.3353
0.9147 , 181.9195
0.8976 , 181.4989
0.8796 , 181.0786
0.8578 , 181.0880
0.8389 , 180.6681
0.8180 , 180.2491
0.7981 , 180.2576
0.7782 , 179.8381
0.7592 , 179.8463
0.7280 , 179.4317
0.6986 , 179.4443
0.6730 , 179.0273
0.6493 , 179.0374
0.6227 , 178.1928
0.5991 , 178.2030
0.5735 , 177.7860
0.5488 , 177.7965
0.5289 , 177.8050
0.5090 , 177.8136
0.4891 , 176.9661
0.4682 , 176.9751
0.4493 , 177.4111
0.4303 , 176.9913
0.4085 , 176.1447
0.3886 , 175.7253
0.3687 , 175.7338
0.3498 , 176.1699
0.3355 , 175.3200
0.3204 , 175.3265
0.2995 , 174.9075
0.2787 , 174.9164
0.2597 , 174.4966
0.2398 , 174.0771
0.2237 , 174.0840
0.2104 , 173.2338
0.1991 , 172.8107
0.1896 , 172.3868
0.1782 , 171.9637
0.1697 , 171.9673
0.1592 , 171.9718
0.1507 , 170.6916
0.1403 , 170.2681
0.1299 , 169.8446
0.1204 , 169.4207
0.1109 , 168.5688
0.0995 , 168.1457
0.0891 , 167.2943
0.0787 , 166.0148
0.0692 , 165.1630
0.0588 , 163.4556
0.0493 , 161.3198
0.0389 , 159.6125
0.0275 , 156.6216
0.0190 , 153.2016
0.0104 , 146.3579
0.0038 , 140.3693
