850-30m,
X,Y
0.9943 , 188.3292
0.9821 , 187.8993
0.9614 , 186.1794
0.9434 , 185.3194
0.9303 , 184.4595
0.9152 , 183.5995
0.9001 , 182.7396
0.8812 , 181.8796
0.8605 , 181.0197
0.8398 , 181.0197
0.8200 , 180.1597
0.8002 , 179.7297
0.7795 , 179.2998
0.7597 , 178.8698
0.7295 , 178.8698
0.7012 , 178.4398
0.6748 , 178.0098
0.6513 , 177.5799
0.6249 , 177.1499
0.6013 , 177.1499
0.5759 , 176.7199
0.5504 , 176.7199
0.5297 , 176.2899
0.5099 , 176.2899
0.4892 , 175.8600
0.4703 , 175.4300
0.4496 , 175.4300
0.4317 , 175.0000
0.4100 , 175.0000
0.3911 , 174.5700
0.3704 , 174.5700
0.3497 , 174.1400
0.3346 , 173.7101
0.3205 , 173.2801
0.2997 , 173.7101
0.2818 , 173.2801
0.2601 , 172.4201
0.2403 , 172.4201
0.2271 , 171.9902
0.2121 , 171.5602
0.1998 , 170.7002
0.1894 , 170.7002
0.1810 , 169.8403
0.1706 , 169.4103
0.1602 , 168.9803
0.1499 , 168.9803
0.1395 , 168.5504
0.1301 , 168.1204
0.1206 , 167.6904
0.1122 , 166.4005
0.1018 , 165.5405
0.0895 , 164.6806
0.0811 , 163.8206
0.0697 , 162.5307
0.0603 , 161.2408
0.0481 , 159.5209
0.0386 , 157.3710
0.0283 , 154.3612
0.0207 , 150.9214
0.0151 , 146.6216
0.0009 , 124.2629
