750-3h,
X,Y
0.2389 , 197.0342
0.2581 , 197.6015
0.4895 , 201.0997
0.5088 , 201.3433
0.5281 , 201.9106
0.5487 , 202.2406
0.6245 , 203.0204
0.7594 , 205.1210
0.7787 , 205.5084
0.7980 , 206.0751
0.9924 , 215.6951
0.9754 , 214.4185
0.9583 , 213.1420
0.9441 , 212.7201
0.9280 , 211.8711
0.9137 , 211.0212
0.8986 , 209.7438
0.8787 , 208.4685
0.8578 , 208.0494
0.8389 , 207.2016
0.8180 , 206.7826
0.7289 , 205.1089
0.6976 , 204.2663
0.6730 , 204.2769
0.6483 , 203.8595
0.5735 , 203.0356
0.5991 , 202.5967
0.4692 , 200.5125
0.4493 , 200.5210
0.4294 , 200.5295
0.4095 , 200.5380
0.3896 , 200.1186
0.3697 , 199.6991
0.3488 , 199.7081
0.3336 , 199.2866
0.3175 , 198.4376
0.2995 , 198.4453
0.2787 , 198.0262
0.2227 , 196.3383
0.2095 , 195.9161
0.1991 , 195.4926
0.1886 , 194.6411
0.1791 , 194.6452
0.1697 , 194.2213
0.1592 , 193.3698
0.1498 , 192.5179
0.1403 , 192.0940
0.1308 , 191.6701
0.1204 , 190.3907
0.1118 , 189.5384
0.0995 , 188.2598
0.0891 , 186.9804
0.0787 , 186.1290
0.0682 , 184.8495
0.0588 , 182.2858
0.0493 , 180.1501
0.0408 , 178.4419
0.0303 , 175.0227
0.0190 , 169.4641
0.0104 , 160.9085
0.0038 , 154.0640
0.0009 , 143.3662
