850-50m,
X,Y
0.9943 , 223.5872
0.9821 , 221.4373
0.9595 , 220.1474
0.9463 , 219.2875
0.9312 , 218.4275
0.9142 , 217.1376
0.9010 , 215.8477
0.8803 , 214.9877
0.8605 , 213.6978
0.8398 , 212.8378
0.8190 , 211.9779
0.8011 , 211.5479
0.7795 , 211.1179
0.7597 , 210.2580
0.7304 , 209.3980
0.7003 , 209.3980
0.6758 , 208.9681
0.6513 , 208.5381
0.6258 , 207.6781
0.6004 , 207.2482
0.5749 , 206.8182
0.5504 , 205.9582
0.5297 , 205.5283
0.5099 , 205.0983
0.4901 , 204.6683
0.4703 , 204.2383
0.4496 , 203.8084
0.4298 , 203.3784
0.4090 , 202.9484
0.3902 , 202.5184
0.3695 , 202.5184
0.3506 , 202.0885
0.3355 , 202.0885
0.3195 , 201.2285
0.3007 , 200.7985
0.2799 , 199.5086
0.2601 , 199.5086
0.2413 , 198.6486
0.2243 , 197.7887
0.2102 , 196.9287
0.2008 , 196.4988
0.1904 , 196.0688
0.1800 , 194.7789
0.1706 , 194.3489
0.1602 , 193.4889
0.1508 , 193.0590
0.1404 , 191.7690
0.1310 , 191.3391
0.1197 , 190.0491
0.1122 , 189.6192
0.1008 , 187.8993
0.0924 , 187.0393
0.0829 , 185.3194
0.0707 , 183.1695
0.0594 , 181.0197
0.0434 , 177.5799
0.0358 , 174.1400
0.0189 , 164.6806
0.0028 , 135.4423
