700-3h,
X,Y
0.0072 , 95.4708
0.0272 , 104.5183
0.0466 , 107.0303
0.0660 , 108.3865
0.0855 , 109.4898
0.1046 , 110.6024
0.1243 , 111.0462
0.1449 , 111.4315
0.1631 , 112.1691
0.1838 , 112.3155
0.2027 , 112.9362
0.2214 , 113.3478
0.2408 , 113.8009
0.2602 , 114.3262
0.2797 , 114.5264
0.2991 , 114.4016
0.3185 , 114.8908
0.3379 , 114.9465
0.3574 , 114.7494
0.3768 , 115.3831
0.3958 , 115.2888
0.4156 , 115.6752
0.4350 , 115.4059
0.4545 , 116.0396
0.4734 , 116.2161
0.4933 , 116.3678
0.5123 , 116.4007
0.5318 , 116.5885
0.5516 , 116.7157
0.5710 , 116.9942
0.5904 , 117.3419
0.6098 , 117.1430
0.6292 , 117.2096
0.6491 , 117.2692
0.6681 , 117.3031
0.6875 , 117.9729
0.7069 , 118.1370
0.7268 , 117.6566
0.7458 , 118.0679
0.7652 , 118.0153
0.7846 , 118.2155
0.8040 , 118.2351
0.8235 , 117.9297
0.8429 , 118.4189
0.8623 , 118.5469
0.8817 , 118.5665
0.9011 , 118.2972
0.9206 , 119.1837
0.9400 , 119.0950
0.9594 , 119.6926
0.9788 , 119.9289
0.9947 , 120.7308
