850-55m,
X,Y
0.0091 , 172.0406
0.0043 , 160.5180
0.0017 , 152.2922
0.0015 , 141.3516
0.0250 , 182.0288
0.0436 , 191.6706
0.0629 , 197.5371
0.0821 , 202.1725
0.1013 , 205.9386
0.1205 , 208.3649
0.1397 , 210.5377
0.1589 , 212.7468
0.1781 , 214.0142
0.1967 , 215.0916
0.2165 , 216.5130
0.2357 , 217.7442
0.2549 , 218.7582
0.2742 , 219.5187
0.2934 , 220.2067
0.3126 , 221.0034
0.3318 , 220.8948
0.3510 , 221.7277
0.3702 , 222.3071
0.3894 , 222.7416
0.4086 , 223.2124
0.4278 , 223.2848
0.4470 , 224.1178
0.4670 , 224.3531
0.4870 , 224.9636
0.5047 , 225.9743
0.5239 , 225.0955
0.5431 , 225.3128
0.5623 , 225.7111
0.5815 , 226.0371
0.6007 , 226.3630
0.6199 , 226.7613
0.6391 , 227.0873
0.6584 , 227.3770
0.6776 , 228.1012
0.6968 , 228.2823
0.7160 , 228.6806
0.7352 , 228.9341
0.7544 , 229.5860
0.7736 , 230.0567
0.7928 , 230.6362
0.8126 , 230.9674
0.8312 , 232.4941
0.8505 , 232.7398
0.8697 , 234.2881
0.8889 , 234.9950
0.9081 , 236.2761
0.9273 , 238.0871
0.9465 , 239.3998
0.9657 , 240.2689
0.9849 , 241.2829
