700-4h,
X,Y
0.0115 , 114.1581
0.0227 , 120.8184
0.0398 , 122.6770
0.0597 , 124.8455
0.0784 , 126.0758
0.0978 , 127.2875
0.1172 , 127.9573
0.1367 , 128.6271
0.1561 , 129.1163
0.1755 , 129.7139
0.1949 , 130.1670
0.2143 , 130.8730
0.2338 , 132.1328
0.2532 , 131.7430
0.2726 , 132.2323
0.2920 , 132.5409
0.3114 , 132.7411
0.3309 , 132.4356
0.3503 , 132.8887
0.3697 , 133.2334
0.3883 , 133.3477
0.4086 , 133.6700
0.4280 , 133.6897
0.4474 , 133.8538
0.4673 , 134.5323
0.4874 , 136.3187
0.5057 , 134.4545
0.5251 , 134.5464
0.5445 , 134.6744
0.5670 , 134.4476
0.5833 , 135.0749
0.6035 , 135.8128
0.6222 , 135.2586
0.6416 , 135.1699
0.6610 , 135.7193
0.6775 , 134.5193
0.6999 , 135.3010
0.7193 , 136.0069
0.7387 , 135.9905
0.7581 , 135.6489
0.7776 , 136.1742
0.7970 , 135.7604
0.8164 , 136.1412
0.8358 , 136.6665
0.8552 , 136.2527
0.8747 , 136.6697
0.8941 , 137.3395
0.9117 , 137.0355
0.9329 , 137.3065
0.9523 , 137.3623
0.9718 , 137.7431
0.9912 , 138.1962
