750-2h,
X,Y
0.0045 , 133.4079
0.0145 , 149.6830
0.0338 , 158.1642
0.0531 , 162.5445
0.0723 , 165.0903
0.0916 , 167.3123
0.1109 , 168.5991
0.1302 , 169.8498
0.1495 , 171.1366
0.1687 , 171.5240
0.1880 , 172.5590
0.2073 , 173.1263
0.2266 , 173.9094
0.2459 , 174.5127
0.2652 , 174.9001
0.2844 , 175.2156
0.3037 , 175.6390
0.3230 , 175.9185
0.3423 , 175.7304
0.3616 , 176.3697
0.3808 , 176.5413
0.4001 , 176.8208
0.4194 , 177.1363
0.4387 , 177.3079
0.4580 , 177.4795
0.4772 , 178.1548
0.4961 , 178.6923
0.5143 , 178.6487
0.5336 , 178.6574
0.5532 , 178.8185
0.5730 , 179.1514
0.5929 , 179.7240
0.6122 , 180.1474
0.6307 , 179.5202
0.6504 , 179.6305
0.6700 , 180.2006
0.6893 , 180.7619
0.7086 , 181.0774
0.7280 , 180.3939
0.7472 , 181.2767
0.7665 , 181.1606
0.7857 , 181.2602
0.8050 , 181.3599
0.8243 , 181.4595
0.8436 , 181.6312
0.8629 , 181.8387
0.8821 , 182.0463
0.9013 , 181.9482
0.9207 , 182.5694
0.9400 , 182.7410
0.9593 , 183.4522
0.9785 , 183.8396
0.9943 , 184.4804
