850-30m,
X,Y
0.0035 , 124.6170
0.0102 , 138.2817
0.0181 , 147.9321
0.0349 , 155.6383
0.0541 , 160.2012
0.0733 , 163.0982
0.0925 , 165.2710
0.1117 , 166.9006
0.1310 , 168.0595
0.1502 , 169.1821
0.1694 , 169.8339
0.1886 , 170.8479
0.2078 , 171.1014
0.2270 , 172.1154
0.2462 , 172.6948
0.2654 , 172.4775
0.2846 , 173.4915
0.3038 , 173.9260
0.3231 , 173.6725
0.3423 , 174.0709
0.3615 , 174.4330
0.3807 , 174.6865
0.3999 , 175.0124
0.4191 , 175.4832
0.4383 , 175.6643
0.4575 , 175.7367
0.4762 , 176.6843
0.4959 , 176.5660
0.5152 , 176.1713
0.5344 , 176.3523
0.5536 , 176.6058
0.5728 , 176.7145
0.5920 , 176.8593
0.6112 , 177.1490
0.6304 , 177.2577
0.6496 , 177.6017
0.6688 , 177.8009
0.6888 , 178.6191
0.7063 , 179.3691
0.7278 , 178.7007
0.7457 , 180.8531
0.7632 , 179.1695
0.7841 , 179.6043
0.8033 , 180.7502
0.8224 , 181.3947
0.8417 , 182.3324
0.8609 , 181.7401
0.8801 , 183.0301
0.8994 , 184.3772
0.9186 , 184.8987
0.9378 , 185.3695
0.9570 , 186.6007
0.9762 , 187.4336
0.9937 , 188.3470
