850-55m,
X,Y
0.9943 , 242.0762
0.9755 , 240.3563
0.9604 , 239.4963
0.9444 , 238.2064
0.9303 , 236.9165
0.9142 , 236.0565
0.8992 , 234.7666
0.8803 , 233.4767
0.8605 , 232.6167
0.8407 , 232.1867
0.8209 , 231.3268
0.8002 , 230.8968
0.7804 , 230.4668
0.7597 , 229.6069
0.7304 , 228.7469
0.7003 , 228.3170
0.6748 , 228.3170
0.6494 , 227.8870
0.6249 , 227.4570
0.6004 , 227.0270
0.5759 , 226.1671
0.5504 , 225.7371
0.5297 , 225.3071
0.5099 , 224.8771
0.4910 , 224.4472
0.4694 , 224.0172
0.4505 , 223.5872
0.4307 , 222.7273
0.4090 , 222.7273
0.3902 , 223.1572
0.3695 , 222.2973
0.3497 , 221.8673
0.3346 , 221.0074
0.3214 , 220.5774
0.2997 , 219.7174
0.2799 , 219.7174
0.2601 , 218.4275
0.2394 , 217.5676
0.2243 , 216.7076
0.2102 , 215.8477
0.1998 , 215.8477
0.1904 , 214.9877
0.1800 , 214.1278
0.1715 , 213.2678
0.1621 , 212.4079
0.1508 , 211.1179
0.1404 , 210.2580
0.1301 , 209.3980
0.1216 , 208.1081
0.1093 , 207.2482
0.0990 , 205.5283
0.0905 , 203.8084
0.0801 , 201.6585
0.0688 , 199.0786
0.0584 , 196.4988
0.0481 , 193.4889
0.0405 , 190.9091
0.0283 , 184.8894
0.0189 , 179.2998
0.0094 , 169.4103
0.0057 , 160.8108
0.0028 , 142.3219
