700-6h,
X,Y
0.0075 , 116.3561
0.0020 , 105.5240
0.0307 , 125.2494
0.0503 , 127.8004
0.0696 , 129.4788
0.0890 , 130.5098
0.1084 , 131.7215
0.1278 , 132.3552
0.1473 , 133.0250
0.1667 , 133.2614
0.1861 , 134.1480
0.2055 , 134.5288
0.2249 , 134.6929
0.2444 , 135.5434
0.2638 , 135.7075
0.2832 , 135.5826
0.3026 , 136.2163
0.3220 , 136.2721
0.3415 , 136.2917
0.3609 , 136.3836
0.3803 , 136.7283
0.3997 , 136.7840
0.4191 , 136.9120
0.4386 , 136.8955
0.4580 , 137.1680
0.4774 , 137.8017
0.4968 , 137.9659
0.5153 , 138.2586
0.5345 , 138.1789
0.5551 , 138.3498
0.5742 , 138.6798
0.5939 , 139.2199
0.6134 , 138.6977
0.6328 , 139.3675
0.6521 , 138.8454
0.6716 , 138.8650
0.6910 , 139.6070
0.7105 , 139.8795
0.7300 , 139.3090
0.7493 , 139.4853
0.7687 , 139.7939
0.7881 , 140.2109
0.8076 , 140.0499
0.8270 , 139.5277
0.8464 , 140.2336
0.8658 , 140.2894
0.8853 , 140.3090
0.9047 , 140.2564
0.9241 , 140.7456
0.9435 , 140.9459
0.9629 , 141.3990
0.9824 , 141.8159
0.9976 , 142.4316
0.0151 , 121.4309
