700-6h,
X,Y
0.0075 , 116.3561
0.0307 , 125.2494
0.0503 , 127.8004
0.0696 , 129.4788
0.1278 , 132.3552
0.2249 , 134.6929
0.0151 , 121.4309
0.9953 , 142.2545
0.9783 , 141.8443
0.9594 , 141.0111
0.9443 , 141.0239
0.9302 , 141.0359
0.9170 , 140.1979
0.8792 , 139.3807
0.8594 , 139.3975
0.8208 , 139.0057
0.7991 , 139.0242
0.7604 , 138.6324
0.7292 , 138.2342
0.7009 , 138.2582
0.6755 , 137.8552
0.6500 , 137.8769
0.6245 , 137.4739
0.6000 , 137.0701
0.5745 , 137.0917
0.5500 , 137.9618
0.5311 , 137.9778
0.5094 , 137.1470
0.4906 , 136.7384
0.4708 , 136.3306
0.4491 , 136.3490
0.4302 , 136.3650
0.4094 , 136.8073
0.3906 , 135.9740
0.3708 , 135.9909
0.3509 , 136.0077
0.3368 , 136.0197
0.3198 , 136.4588
0.3000 , 136.0510
0.2792 , 135.2193
0.2594 , 135.2361
0.2406 , 134.8275
0.2113 , 134.4278
0.1981 , 134.4390
0.1802 , 134.0296
0.1708 , 133.6129
0.1585 , 133.1987
0.1406 , 132.3647
0.1104 , 131.5411
0.0906 , 130.7086
0.0047 , 107.0024
