800-1h,
X,Y
0.3517 , 203.0256
0.3710 , 203.7001
0.3905 , 203.5951
0.4096 , 204.2945
0.4289 , 204.2504
0.9943 , 212.8919
0.9755 , 211.6252
0.9594 , 211.6320
0.9443 , 210.3636
0.9302 , 209.9447
0.9151 , 210.3760
0.8991 , 209.5330
0.8792 , 209.5414
0.8594 , 208.7000
0.8396 , 209.1333
0.8208 , 208.2915
0.8000 , 208.3003
0.7792 , 207.8842
0.7594 , 207.8926
0.7292 , 207.0556
0.7000 , 207.0680
0.6755 , 206.2286
0.6491 , 206.2398
0.6245 , 205.8253
0.5991 , 205.8361
0.5745 , 205.4216
0.5509 , 205.4316
0.5292 , 205.0159
0.5094 , 205.0243
0.4887 , 205.0331
0.4708 , 204.6158
0.4500 , 204.6246
0.3358 , 202.5485
0.3198 , 202.5553
0.3000 , 201.7139
0.2802 , 201.7223
0.2604 , 200.4559
0.2396 , 200.0398
0.2236 , 199.6217
0.2094 , 198.7779
0.2000 , 198.3569
0.1896 , 197.9364
0.1802 , 197.5155
0.1698 , 196.6701
0.1613 , 196.2487
0.1509 , 195.4033
0.1406 , 194.9828
0.1302 , 193.7124
0.1217 , 192.8661
0.1113 , 192.0207
0.1009 , 191.1752
0.0915 , 189.9045
0.0802 , 188.2096
0.0689 , 186.0897
0.0585 , 184.3944
0.0472 , 181.4247
0.0406 , 179.7278
0.0292 , 174.6335
0.0189 , 169.5387
0.0085 , 161.4695
0.0057 , 157.2214
0.0019 , 135.9765
